sp	id	d	p	c	o	f	g	s
UP000308365	40151	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Monodon	Monodon monoceros
UP000694544	68415	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Moschus	Moschus moschiferus
UP000532252	45807	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Motacilla	Motacilla alba
UP000326062	9886	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Muntiacus	Muntiacus reevesi
UP000000589	10090	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mus	Mus musculus
UP000694415	10103	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mus	Mus spicilegus
UP000000715	9669	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mustela	Mustela putorius furo
UP000534930	381031	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myiagra	Myiagra hebetior
UP000010556	225400	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myotis	Myotis davidii
UP000052978	109478	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myotis	Myotis brandtii
UP000001074	59463	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myotis	Myotis lucifugus
UP000527355	51298	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myotis	Myotis myotis
UP000472263	586833	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Myripristis	Myripristis murdjan
UP000537747	98133	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mystacornis	Mystacornis crossleyi
UP000694559	35670	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Naja	Naja naja
UP000694381	1026970	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nannospalax	Nannospalax galili
UP000560066	254563	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neodrepanis	Neodrepanis coruscans
UP000694425	452646	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neogale	Neogale vison
UP000694523	47308	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neogobius	Neogobius melanostomus
UP000261580	32507	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neolamprologus	Neolamprologus brichardi
UP000556200	456388	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neopipo	Neopipo cinnamomea
UP000092124	56216	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Neotoma	Neotoma lepida
UP000549091	381881	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nesospiza	Nesospiza acunhae
UP000053840	176057	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nestor	Nestor notabilis
UP000653383	237433	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nicator	Nicator chloris
UP000053283	128390	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nipponia	Nipponia nippon
UP000001073	61853	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nomascus	Nomascus leucogenys
UP000504612	8663	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Notechis	Notechis scutatus
UP000694548	105023	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nothobranchius	Nothobranchius furzeri
UP000531559	2585813	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nothocercus	Nothocercus julius
UP000531938	83376	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nothoprocta	Nothoprocta ornata
UP000694420	30464	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nothoprocta	Nothoprocta perdicaria
UP000579558	366454	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Notiomystis	Notiomystis cincta
UP000504611	8208	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Notothenia	Notothenia coriiceps
UP000645828	34880	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nyctereutes	Nyctereutes procyonoides
UP000538472	48426	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nyctibius	Nyctibius bracteatus
UP000567826	48427	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nyctibius	Nyctibius grandis
UP000586634	227226	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nycticryphes	Nycticryphes semicollaris
UP000551823	382315	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Nyctiprogne	Nyctiprogne leucopyga
UP000569728	79653	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oceanites	Oceanites oceanicus
UP000527232	79633	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oceanodroma	Oceanodroma tethys
UP000515203	10160	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Octodon	Octodon degus
UP000245340	9708	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Odobenus	Odobenus rosmarus divergens
UP000504613	9880	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Odocoileus	Odocoileus virginianus texanus
UP000522663	886794	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Odontophorus	Odontophorus gujanensis
UP000565754	279966	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oenanthe	Oenanthe oenanthe
UP000193380	8022	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oncorhynchus	Oncorhynchus mykiss
UP000694402	74940	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oncorhynchus	Oncorhynchus tshawytscha
UP000694557	8019	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oncorhynchus	Oncorhynchus kisutch
UP000550309	360224	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Onychorhynchus	Onychorhynchus coronatus
UP000579812	369639	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Onychostoma	Onychostoma macrolepis
UP000018936	8665	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ophiophagus	Ophiophagus hannah
UP000053605	30419	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Opisthocomus	Opisthocomus hoazin
UP000542358	979223	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oreocharis	Oreocharis arfaki
UP000005207	8128	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Oreochromis	Oreochromis niloticus
