code	d	p	c	o	f	g	s
UP000326268	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus caelatus
UP000326289	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus minisclerotigenes
UP000326799	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus novoparasiticus
UP000326950	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus tamarii
UP000630445	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus hiratsukae
UP000641853	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus felis
UP000653565	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus fumigatiaffinis
UP000654913	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus puulaauensis
UP000053475	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus ustus
UP000234585	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus candidus
UP000325672	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus pseudotamarii
UP000326532	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus parasiticus
UP000541154	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus burnettii
UP000266188	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus sclerotialis
UP000272442	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus sp. HF37
UP000325780	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus avenaceus
